clean_text,polarity,subjectivity,location
Brennan Clapper one person flip regarding coup We know,0,0,"Kansas, USA"
I n't even know question still place We text prove We Brennan saying wa…,0,0,"California, USA"
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,"St Louis, MO"
guess WHO ELSE dinner Washington DC Oct yes Prime Minister Italy MATTEO RE…,0,0,
Lol Brennan started flip live tv.. going get interesting..,0.478787879,0.566666667,
They 're impeachment inquiry behind closed doors *assassination* plot POTUS Brennan leading…,-0.25,0.4,
Five felonies counting The Brennan Cardinal spirit strong guy,0.433333333,0.733333333,Fuck
John Brennan Susan Rice Nancy Pelosi Joe Biden ... knew Eric Ciaramella Adam Schiff 'whistleblower ... .…,0,0,South Carolina
I ’ already feeling ill sorry Mum goes puts Neighbours Mark Brennan leaving The o…,-0.5,1,Milton Keynes
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,Vote Blue No Matter Who
Skating brennan funny fb got really cant contain school board Graduatuon s/o university,0.225,0.6,STILL wide awake?
“ He ought find happened Comey happened McCabe Lisa happened Peter Strzok wha…,0,0,
Why ’ Pelosi holding house vote impeachment Because first person subpoenaed Republicans would Hunte…,0.25,0.333333333,
yes dinner REALLY HAPPENED John Brennan Susan Rice dinner together Eric Ciaramella t…,0.2,0.2,South Carolina
Brennan Center Justice shows least million voters removed voter rolls between…,-0.2,0.25,"Hillsboro, OR"
asks `` Do think Republicans might like question Mr. Brennan Mr. Clapper oat…,0,0,"Montana, USA"
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,
Governments ’ create Corruption ... Government ’ attract Corrupt people ... Schiff Pelosi Schumer Nadler Sanders Poc…,-0.5,1,USA
Governments ’ create Corruption ... Government ’ attract Corrupt people ... Schiff Pelosi Schumer Nadler Sanders Poc…,-0.5,1,"Texas, USA"
Trump responds rebuke Graham decision Syria `` Lindsey needs focus judiciary ... democ…,0,0,"Salem, OR"
question Was Adam Schiff “ Whistleblower Operation ” planned John Brennan coordinated Brennan Su…,0,0,
question Was Adam Schiff “ Whistleblower Operation ” planned John Brennan coordinated Brennan Su…,0,0,
Awww I ’ take chance share without invitation photo sisters meeting the…,0.4,0.9,"Jensen Beach & Gainesville, FL"
question Was Adam Schiff “ Whistleblower Operation ” planned John Brennan coordinated Brennan Su…,0,0,Texas
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,"Buena Park, CA"
Both Traitors Clapper Brennan gon na throw Barry bus drive 🤣🤣,0,0,
Brennan Clapper bidding,0,0,
Maybe Obama first roll Brennan Obama awful quiet,-0.25,0.555555556,
The worst thing Senator American protect Obama Brennan tried overthr…,-0.5,0.5,USA
imagine dinner Washington DC Oct John Brennan Director CIA Susan Rice Obama's…,0,0,South Carolina
John Brennan Susan Rice Nancy Pelosi Joe Biden ... knew Eric Ciaramella Adam Schiff 'whistleblower ... .…,0,0,
imagine dinner Washington DC Oct John Brennan Director CIA Susan Rice Obama's…,0,0,
Bigger imagine amp ALL THE FISC JUDGES…,0,0.5,
Lol Brennan started flip live tv.. going get interesting..,0.478787879,0.566666667,
Big fan brennan sold yet,0,0.1,Louisiana
Why letting CIA Brennan Clapper et al challenge release IG Report redactions Haven ’ Americans…,0,0,America
"I posted new Bedroom Brennan Center House 1,168,000",0.018181818,0.277272727,"ÜT: 49.338286,-123.143749"
Brennan Clapper one person flip regarding coup We know,0,0,"Fort Wayne, IN"
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,"Frisco, TX"
The regret HRC/Brennan/Comey had…,0,0, USA
Brennan Clapper one person flip regarding coup We know,0,0,Texas
Ex CIA Brennan investigated justice department,0,0,"San Diego, CA"
They 're impeachment inquiry behind closed doors *assassination* plot POTUS Brennan leading…,-0.25,0.4,ILLINOISY  -  IT Director
Why ’ Pelosi holding house vote impeachment Because first person subpoenaed Republicans would Hunte…,0.25,0.333333333,"Here, there, and yonder 🎯👽😉"
Brennan Clapper one person flip regarding coup We know,0,0,
They 're impeachment inquiry behind closed doors *assassination* plot POTUS Brennan leading…,-0.25,0.4,
We love watch amp let everyone know much love,0.5,0.6,"North Carolina, USA"
Brennan Vincent bonding dinosaur replica,0,0,
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,United States
At evening see ’ new production Irish actress Jane Brennan bac…,0.068181818,0.227272727,"Bow Street, Dublin"
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,"Tennessee, USA"
Brennan Clapper one person flip regarding coup We know,0,0,United States 🇺🇸 I stand with Trump!
In case 're curious spiritual condition I listening Nick Cave 's MURDER BALLADS,-0.05,0.566666667,Chicago
It 's word `` backup '' We want real thing backup real thing We want …,0.2,0.3,United States
Q Drops /22/2019 What happened Mueller hype What happened Mueller take POTUS threats …,0,0,
We watch All Heart Australia 's I carry i…,0,0,"North Carolina, USA"
Governments ’ create Corruption ... Government ’ attract Corrupt people ... Schiff Pelosi Schumer Nadler Sanders Poc…,-0.5,1,
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,"San Francisco, CA"
Maybe Obama first roll Brennan Obama awful quiet,-0.25,0.555555556,Wandering the US
Tucker Chapman Brennan Deyo amp rest Blacksmiths try get another win today Virginia Tech vs Billy W…,0.8,0.4,
On way catch jet plane ... ..see everyone Phoenix,0,0,UK
