clean_text,polarity,subjectivity,location
Get FLU JAB Newington Pharmacy Newington Rd Ramsgate CT12 EW -…,0.0,0.0,"Ramsgate, England"
Apparently “ flu like symptoms ”,0.05,0.35,
Fun times Meanwhile caged children adults refused flu shots basic human rights suffering dying,0.09999999999999999,0.1416666666666667,
Another child severely affected He 's ok several days ventilator lengthy hospital s…,0.25,0.25,On stolen Payomkowishum and Tongva Land
This flu dragging,0.0,0.0,In my lane
wo n't even work China Xi 's taking back control private firms Alibaba reverting China a…,0.0,0.1875,"New York, USA"
The Lymes Senior Center hosting flu shot clinic Saturday October am-noon and…,-0.1,0.1,"Essex, CT"
Longing sick day essentials get cold flu season C…,-0.6571428571428571,0.9285714285714286,
STOP TAKING THE FLU SHOT U THINK YOUR GOVERNMENT IS FOR YOU…THINK AGAIN Take a…,0.0,0.0,United States
Every year I see people talking damn flu shot ’ wrong formulation time,-0.5,0.9,ohio❤️
Our lovely Matron receiving flu jab …,0.5,0.75,"Manchester, England"
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
Swine flu went see Sampson Delilah Sampson pushed temple big piece of…,0.0,0.1,
Hi Just following last email flu shots Would love could GET ONE PLEASE FOR THE LOVE OF G-,0.25,0.3416666666666667,"Somerville, MA"
cuffing season flu season cus I ’ sick played,-0.7142857142857143,0.8571428571428571,Kuwait
This flu defeated,0.0,0.0,
Everyone using public transport sick nowadays I hate much wear masks like Japanese peop…,-0.26285714285714284,0.40476190476190477,ハンガリー
Media Release The Public Health distributing flu vaccine physicians…,0.0,0.06666666666666667,Guelph
cuffing season flu season cus I ’ sick played,-0.7142857142857143,0.8571428571428571,"California, USA"
I always feel dreadful day small price pay compared getting flu,-0.625,0.7,"running, reading, or mouthing off"
Am I really start full fight Lennon says ’ flu shots Yes Absolutely,0.25,0.5499999999999999,
The CDC recommends everyone months old get vaccinated end month …,0.1,0.2,"Johannesburg, South Africa"
Is cold Or flu The Exchange Tylenol®️ got back,-0.3,0.5,
After day jabathon I got flu vaccination today Have,0.0,0.0,Nottingham
wo n't even work China Xi 's taking back control private firms Alibaba reverting China a…,0.0,0.1875,Pacific Shores (PST)
Thank god I ’ balloon since allergy shots flu shot blood drawn I would ’ dead,-0.2,0.4,
So Jalen flight LA baby flu get linked Rams tampering Asking friend,0.0,0.0,
Told manager I might flu tomorrow imma pull work fresh mani pedi eyebrows done box braids,0.3,0.5,"Bronx, NY"
Did cold flu season get best Click link receive free Theraf…,0.26666666666666666,0.7000000000000001,
Flu shot acquired Dentist appointment scheduled Optometrist follow pushed back still scheduled Using the…,0.0,0.0,"Somewhere near Boston, MA"
flu shot got sleepy lol,0.8,0.7,"Baltimore, MD"
First infection flu When immune system got weaker Xrp standart fuck,-0.07500000000000001,0.4666666666666667,
Getting flu shot morning RVES staff staying healthy,0.5,0.5,"Fairfax County, Virginia"
's fine I think flu cold symptom,-0.09166666666666665,0.75,feeling bad for scott's taco
Great advice get flu shot,0.8,0.75,"Rockville, Maryland"
Have n't got flu shot yet Health eerts talk vaccine matches prevention seasonal predictions pandemics.…,0.0,0.0,"New Brunswick & Piscataway, NJ"
Friendly reminder even good immune system getting flu shot helps people compromise…,0.5375,0.55,
How flu actually kill people The short morbid answer cases body kills trying heal…,0.0,0.2,Madrid. Spain
SPLURT sound flu shot gets injected arm makes SQUIRM,0.4,0.4,soco
These steps help keep flu contained even 's entered home,0.0,0.0,
Flu shots weak,-0.375,0.625,"Indiana, USA"
It 's flu thanks Brett,0.2,0.2,Belfast
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
tell happen flu shot lmao,0.6,1.0,
So influenza section pink book 's zero proof deat…,-0.1,0.3,"Los Angeles, CA"
The BTSS Health Fair amp Flu Shot Clinic Friday October a.m. p.m. Limited flu shots availab…,0.3142857142857143,0.5214285714285715,"Warren, MI"
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
An updated guide changing science flu shots ... .can repeated vaccinations backfire via,0.0,0.0,"London, England"
cuffing season flu season cus I ’ sick played,-0.7142857142857143,0.8571428571428571,"Peoria, AZ"
Longing sick day essentials get cold flu season Click he…,-0.6571428571428571,0.9285714285714286,
life threatening life long condition one conditions free prescripti…,0.17500000000000002,0.6000000000000001,"Preston, England"
Whenever I dx someone w/ flu amp n't get vax I always slip somewhere Me If I shot…,0.0,0.0,"Silverstone, England"
There many myths surrounding flu flu vaccine sort facts fiction 🤒 ht…,0.5,0.5,"Newark-on-Trent, England"
Megan Meller Infection Control Infection Preventionist shares flu prediction flu season.…,0.0,0.0,"Wisconsin, Minnesota, Iowa"
In news GET YOUR FLU SHOT,0.0,0.0,Chicago
Column n't say `` But eerts say even flu vaccine ’ exactly match strains cir…,0.25,0.25,San Francisco
The flu kills ppl sporting rifle like AR-15,0.0,0.0,
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
The ‘ swine flu skank ’ one culturally competent public health promotions lifetime,0.25,0.36666666666666664,
These steps help keep flu contained even 's entered home,0.0,0.0,الرياض المملكه العربيه السعودي
Getting flu shot sucks I anyway,-0.3,0.3,"Columbus, Ohio"
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
agree would n't prevention better approach to…,0.5,0.5,"Dallas, TX"
I 've feverish sweating day man cant wait get hoop sesh tonight sweat flu,-0.1,0.4,Staples
Did cold flu season get best Click link receive free Theraflu Sick Ki…,0.021428571428571436,0.7392857142857143,
Just got flu shot fingers crossed autism 🤞🤞,0.0,0.0,"Minneapolis, MN"
Midland Regional Hospital Tullamore UL Students leading way flu vaccine identi…,0.0,0.0,Offaly Republic of Ireland
